,lats,longs
0,34.4319232,74.123996
1,34.1595145,74.3587473
2,34.0836708,74.7972825
3,33.9348549,74.6400432
4,33.8716117,74.8945692
5,33.7311255,75.1487007
6,34.1530741,77.5781692
7,34.5538522,76.1348944
8,33.0469201,75.6208088
9,32.9159847,75.1416173
10,33.7670014,74.0924041
11,33.3716143,74.315191
12,32.7266016,74.8570259
13,32.3864799,75.5172688
14,33.7593643,74.8039205
15,34.5052269,74.6868815
16,33.3115906,75.7662195
17,33.2427243,75.2391588
18,34.2164955,74.7719431
19,33.6449908,75.018031
20,33.0804393,74.8364724
21,32.5530092,75.1107527
22,32.5533633,76.1258083
23,32.0998031,76.2691006
24,32.6192107,77.3783789
25,31.957851,77.1094597
26,31.5892006,76.9182097
27,31.6861745,76.5213092
28,31.468445,76.2707745
29,31.3406931,76.6874701
30,30.9044857,77.0967357
31,30.5628455,77.4701972
32,31.1048145,77.1734033
33,31.6509576,78.4751945
34,32.0419424,75.4053367
35,31.6339793,74.8722642
36,31.3714801,75.3936808
37,31.3260152,75.5761829
38,31.5143178,75.911483
39,31.0912954,76.0391909
40,30.9659168,76.5230234
41,30.6810924,76.4100267
42,30.900965,75.8572758
43,30.8164603,75.1717093
44,30.9331348,74.6224755
45,30.4766391,74.511172
46,30.593204,74.8273184
47,30.210994,74.9454745
48,29.9995069,75.3936808
49,30.2457963,75.8420716
50,30.3397809,76.3868797
51,30.7046486,76.7178726
52,31.4616728,74.9267229
53,30.3819446,75.5467979
54,30.4036478,74.0279621
55,32.2643375,75.6421121
56,30.7333148,76.7794179
57,30.7268307,78.4354042
58,30.2937439,79.560344
59,30.2844141,78.9811407
60,30.3011858,78.5660852
61,30.3164945,78.0321918
62,29.8687682,78.8382644
63,30.0815485,80.365865
64,29.8403606,79.769426
65,29.5892407,79.646666
66,29.3360974,80.0910275
67,29.3803039,79.4635658
68,28.9609653,79.5153773
69,29.9456906,78.1642478
70,30.6942091,76.860565
71,30.3781788,76.7766974
72,30.1290485,77.2673901
73,29.9695121,76.878282
74,29.7856734,76.3984537
75,29.6856929,76.9904825
76,29.3909464,76.9635023
77,28.9930823,77.0150735
78,29.3211153,76.3058328
79,29.5077159,75.4519516
80,29.5335931,75.0177029
81,29.1491875,75.7216527
82,28.7751693,75.9927652
83,28.8955152,76.606611
84,28.6079115,76.6571775
85,28.1124989,76.2247366
86,28.1927631,76.6239423
87,28.4594965,77.0266383
88,28.4089123,77.3177894
89,28.0106916,77.0564464
90,28.1487362,77.3320262
91,28.7186211,77.0685134
92,28.7886037,77.1411602
93,28.7183693,77.2580268
94,28.6279559,77.2956273
95,28.6139391,77.2090212
96,28.6643427,77.2166836
97,28.6663433,77.067959
98,28.5928929,77.0346164
99,28.4816551,77.1872857
100,29.9038399,73.8771901
101,29.5815012,74.3294199
102,28.0229348,73.3119159
103,28.3174965,74.9851678
104,28.1288747,75.3995089
105,27.5529907,76.6345735
106,27.216981,77.489515
107,26.7025181,77.893391
108,26.488323,77.0161436
109,26.0377772,76.3521514
110,26.8931931,76.3375284
111,26.9124336,75.7872709
112,27.6094,75.139911
113,27.1991222,73.740924
114,26.2389469,73.0243094
115,26.9157487,70.9083443
116,25.7531537,71.4180622
117,25.1256823,72.1416132
118,24.8851548,72.8574558
119,25.7710893,73.3234478
120,26.4498954,74.6399163
121,26.1620402,75.7894716
122,25.4305144,75.6499025
123,25.321377,74.586953
124,25.2234975,73.7477857
125,24.585445,73.712479
126,23.841668,73.7146623
127,23.5461394,74.4349761
128,24.8887435,74.6269216
129,25.2138156,75.8647527
130,25.1011438,76.5131637
131,24.5973494,76.1609838
132,24.0316509,74.7787387
133,29.967079,77.5510172
134,29.4726817,77.7085091
135,29.3724422,78.1358472
136,28.8386481,78.7733286
137,28.7893041,79.0249516
138,28.7715965,78.3387066
139,28.9844618,77.7064137
140,28.9421618,77.2261452
141,28.6691565,77.4537578
142,28.338333,77.6077865
143,28.406963,77.8498292
144,27.8973944,78.0880129
145,27.6056212,78.0537813
146,27.4924134,77.673673
147,27.1766701,78.0080745
148,27.1591006,78.3957574
149,27.5587505,78.662567
150,27.2284986,79.0249516
151,28.0337088,79.1205419
152,28.3670355,79.4304381
153,28.6207939,79.8128649
154,27.883744,79.9122455
155,28.16514,80.6326916
156,27.5839037,80.666356
157,27.3986345,80.1316927
158,26.5393449,80.4878195
159,26.8466937,80.946166
160,26.2345298,81.2408689
161,27.4313399,79.4703885
162,27.0514156,79.9136731
163,26.8117116,79.0046898
164,26.4625957,79.5097549
165,26.526707,79.8296743
166,26.4148245,80.2321313
167,26.1270922,79.4703885
168,25.4484257,78.5684594
169,24.6878597,78.4120206
170,25.791305,80.0087746
171,25.4041196,79.8296743
172,25.4796224,80.3380213
173,25.1093692,81.0754657
174,25.8499808,80.8986502
175,25.8973038,81.9452981
176,25.5064864,81.4278984
177,25.4358011,81.846311
178,26.9400001,81.19
179,26.7732476,82.1441643
180,26.4683952,82.6915429
181,26.2647757,82.0727061
182,27.5708377,81.5980246
183,27.5977504,81.9534815
184,27.4308339,82.3017728
185,27.1339913,81.9618968
186,27.2715633,82.820974
187,26.8176796,82.7633133
188,26.7671755,83.0361376
189,27.1177463,83.5070203
190,26.7605545,83.3731675
191,26.7398787,83.8869698
192,26.4862373,83.7838214
193,26.0737044,83.1859458
194,25.9496379,83.5586445
195,25.7584381,84.1487319
196,25.7490034,82.6987002
197,25.5840419,83.5770202
198,25.1793639,83.2934086
199,25.3176452,82.9739144
200,28.5903614,78.5717631
201,25.1336987,82.5644344
202,24.4570238,82.9931607
203,25.38727,82.5680309
204,27.7951547,78.792953
205,26.1540538,81.814238
206,29.4507575,77.3152116
207,28.7305798,77.7758825
208,27.1543104,84.3542049
209,26.6098139,84.8567932
210,26.5145872,85.2942313
211,26.5952476,85.4808393
212,26.4627955,86.1751759
213,26.2899113,86.8220341
214,26.1108142,87.3016132
215,25.6843055,86.947388
216,25.7771391,87.4752551
217,25.5488415,87.6186379
218,25.8674343,86.9423801
219,25.8834961,86.6006249
220,26.111868,85.896004
221,26.1208876,85.3647201
222,26.4685472,84.4433318
223,26.2196205,84.3566593
224,25.8559698,84.8567932
225,25.6838206,85.354965
226,25.8629679,85.7810263
227,25.416675,86.1293792
228,25.4838168,86.7013894
229,25.3478004,86.9824288
230,24.8874179,86.919838
231,25.3747561,86.4735251
232,25.1673614,86.0988253
233,25.0847746,85.8895551
234,25.2621826,85.4788065
235,25.5940947,85.1375645
236,25.466155,84.5222189
237,25.5647103,83.9777482
238,25.0426227,83.6055732
239,25.0685878,84.0167423
240,25.1515827,84.981754
241,24.7457189,84.3804888
242,24.7954523,84.999431
243,24.7425589,85.520024
244,24.764688,86.3376761
245,25.1643264,84.6688348
246,27.8236356,88.556531
247,27.3031986,88.2071598
248,27.28584,88.3945669
249,27.3083637,88.6723578
250,27.5780678,91.8757422
251,27.3427633,92.302446
252,27.4231261,93.0175712
253,27.1719019,93.7029002
254,27.6169349,93.8391557
255,27.786802,94.3359635
256,28.147254,94.7484518
257,28.1097051,95.1432068
258,28.7588781,95.2266675
259,28.8128767,96.1526985
260,27.9039651,96.1739116
261,27.7421763,96.642433
262,26.9942703,95.5407299
263,27.7995361,93.5538411
264,28.1428728,95.8431018
265,28.0138014,94.3395996
266,26.8038362,94.976654
267,26.2357422,94.8131863
268,26.3954215,94.5211935
269,26.0092831,94.5237707
270,26.0910351,94.2589738
271,25.8629885,93.7536663
272,25.6585963,94.1053307
273,25.7374645,94.43879
274,26.5985827,94.7898731
275,25.8187605,94.8520636
276,25.5225378,93.6623239
277,25.3203312,94.1513764
278,24.9879342,93.495292
279,24.2993576,93.2583626
280,24.6303603,93.7598288
281,24.5435506,93.9674371
282,24.7827837,93.8858955
283,24.7806536,93.9674371
284,24.9320611,94.479976
285,24.1827492,94.1513764
286,23.6473811,92.539603
287,24.224565,92.6760251
288,23.727107,92.7176389
289,23.4565708,93.3281929
290,23.3416578,92.8502302
291,22.8670691,92.7655358
292,22.5284445,92.8926342
293,22.489734,92.979269
294,23.899682,91.4048249
295,23.2317493,91.5596117
296,23.8466982,91.9099238
297,24.0797139,92.2630393
298,23.6684101,91.3228229
299,24.0671796,91.6056718
300,23.5166711,91.637215
301,24.3153432,92.0671892
302,25.5679372,90.2244662
303,25.5671692,90.5257823
304,25.3300969,90.563609
305,25.5624625,91.2891036
306,25.8431574,91.985621
307,25.3681768,91.7538817
308,25.5021272,92.341887
309,26.5136208,90.2244662
310,26.0206982,89.9743463
311,26.1641342,90.6251541
312,26.5009992,90.5352356
313,26.3215985,90.9820668
314,26.3160819,91.5983959
315,26.4446185,91.4410527
316,26.4522876,92.027319
317,26.2599654,92.2630393
318,26.3463713,92.6840426
319,26.6738851,92.8577105
320,27.2063587,94.1513764
321,27.4811106,94.5572847
322,27.4921909,95.346775
323,27.4728327,94.9119621
324,26.9826098,94.6424521
325,26.7465203,94.2025859
326,26.5238515,93.962337
327,26.186085,93.5812692
328,25.3478004,93.0175712
329,24.7821253,92.8577105
330,24.8649128,92.3591531
331,24.4548506,92.5792482
332,26.6935448,91.5983959
333,26.6539048,90.6393702
334,26.6897159,91.9099238
335,26.0794316,91.637215
336,27.0360066,88.2626751
337,26.5434772,88.7205256
338,26.3356861,89.445851
339,25.9810393,88.050979
340,25.3715308,88.556531
341,25.1785773,88.2461183
342,24.1759039,88.2801785
343,23.8401675,87.6186379
344,23.2324214,87.8614793
345,23.4709656,88.556531
346,22.6168099,88.402895
347,22.896256,88.2461183
348,23.2324146,87.0786044
349,23.3320779,86.365208
350,22.5957689,88.2636394
351,22.572646,88.363895
352,22.1352378,88.4016041
353,21.9372879,87.7763333
354,22.4080376,87.3810727
355,26.7271012,88.3952861
356,26.4918891,89.5271026
357,24.1084558,83.6773928
358,24.1286106,84.1857115
359,24.2065083,84.8724284
360,23.9966213,85.3691068
361,24.5114836,85.7256372
362,24.19135,86.2996368
363,24.4763201,86.6913222
364,24.7850676,87.3016132
365,25.2381216,87.6453592
366,24.6336908,87.8500644
367,24.4052887,87.3016132
368,23.7956531,86.4303859
369,23.6692956,86.151112
370,23.3440997,85.309562
371,23.4409325,84.6845216
372,23.1920025,84.5222189
373,22.3650858,85.4375574
374,22.4866756,86.4996546
375,23.9505496,86.8170132
376,22.8561261,86.0121573
377,22.6151138,84.4959985
378,23.7555791,84.3542049
379,23.0236384,85.1894045
380,23.6523678,85.56121
381,21.2550301,83.5070203
382,21.8554375,84.0061661
383,21.4668716,83.9811665
384,21.5383136,84.7289442
385,22.0571189,84.6897495
386,21.5151196,85.684578
387,22.0086978,86.4187308
388,21.4869337,86.9246005
389,21.0582737,86.4958396
390,20.5848321,86.6611083
391,20.1975828,86.3376761
392,20.462521,85.8829895
393,20.7652197,86.1751759
394,20.8424388,85.4375574
395,20.8444033,85.1510818
396,20.1654348,85.023346
397,20.130141,85.4788065
398,19.8133822,85.8314655
399,19.5859712,84.6897495
400,19.1912221,84.1857115
401,20.1342042,84.0167423
402,20.6607447,84.1435136
403,20.8480141,83.8950042
404,20.6722671,83.1649001
405,20.5070532,82.605118
406,19.9137363,83.1649001
407,19.171209,83.4163226
408,19.5001322,82.3017728
409,18.813487,82.7123327
410,18.1640803,81.9534815
411,23.3875499,82.3885783
412,22.9494079,83.1649001
413,22.7874503,83.8473015
414,21.8974003,83.3949632
415,22.3594501,82.7500595
416,21.9705529,82.4752757
417,22.0796251,82.1391412
418,22.0089506,81.2243444
419,21.0971034,81.0302222
420,21.1904494,81.2849169
421,21.2513844,81.6296413
422,21.1091317,82.0979023
423,20.7014999,81.5541579
424,20.2727132,81.4883097
425,19.1071317,81.9534815
426,18.8456296,81.3839326
427,19.595851,81.6637765
428,19.723535,81.2424108
429,22.0685419,81.6856808
430,18.8608309,80.7214417
431,18.3911344,81.659273
432,20.7311315,81.2023063
433,21.6894372,81.5596427
434,21.6569173,82.1591963
435,20.2571359,82.3017728
436,23.611174,83.610896
437,23.2148145,82.8694464
438,25.67282,76.6961305
439,26.4933562,77.9909949
440,26.4450034,78.7476208
441,26.2182871,78.1828308
442,25.6845378,78.5660852
443,25.4357869,77.665066
444,24.6348197,77.2979782
445,24.7456147,78.8320779
446,24.9163562,79.5811827
447,24.7180311,80.1819268
448,23.838805,78.7378068
449,23.8380986,79.4421731
450,24.6005075,80.8322428
451,24.5372927,81.30418
452,23.6013747,81.0754657
453,23.3021885,81.3568021
454,24.2071092,81.7787021
455,24.4763852,74.8624092
456,24.076836,75.0692952
457,23.3341696,75.0376325
458,23.1793013,75.7849097
459,23.4272938,76.2729839
460,22.9622672,76.0507949
461,22.769666,74.5920921
462,22.6012922,75.3024655
463,22.7195687,75.8577258
464,21.90287,75.8069082
465,22.0363157,74.903339
466,21.8257334,76.352571
467,23.8508581,76.7336521
468,23.5251102,77.8081363
469,23.2599333,77.412615
470,23.205012,77.0850781
471,23.2215371,78.2020387
472,21.9108031,77.9011842
473,22.1983884,77.1024902
474,22.744108,77.736967
475,23.8308453,80.4072255
476,23.181467,79.9864071
477,22.946557,79.1943534
478,22.9417931,81.0768455
479,22.5979218,80.3713855
480,22.057437,78.9381729
481,22.0868691,79.5434841
482,21.812876,80.1838293
483,24.5775148,77.7318495
484,23.0729222,81.7787021
485,21.3193875,76.2224273
486,22.3403431,74.4994517
487,24.1992101,82.6645469
488,23.7137337,76.0094637
489,23.7337326,69.8597406
490,24.3454739,71.7622481
491,23.8493246,72.1266255
492,23.5879607,72.3693252
493,23.8476704,72.9932969
494,23.2156354,72.6369415
495,23.022505,72.5713621
496,22.7738938,71.6673352
497,22.3038945,70.8021599
498,22.4707019,70.05773
499,21.6417069,69.6292654
500,21.522184,70.4578768
501,21.6031774,71.2220832
502,21.7644725,72.1519304
503,22.5645175,72.928871
504,22.9250506,72.9932969
505,22.8011177,73.5594128
506,22.8379314,74.2531465
507,22.3071588,73.1812187
508,21.8757175,73.5594128
509,21.7051358,72.9958748
510,21.1702401,72.8310607
511,20.8253781,73.7007088
512,20.9467019,72.9520348
513,20.5992349,72.9342451
514,21.2788724,73.6065223
515,25.2234975,73.7477857
516,22.1704232,71.6684269
517,22.1232327,69.3831079
518,21.0119385,70.7168469
519,23.1711262,73.5594128
520,22.3084941,74.0119993
521,22.8119895,70.8236195
522,20.7144094,70.9873719
523,20.3973736,72.8327991
524,20.1808672,73.0169135
525,21.7468548,74.123996
526,20.9042201,74.7748979
527,21.0076578,75.5626039
528,20.4560976,76.3637285
529,20.7059345,77.0219019
530,20.1119123,77.1312586
531,20.9374238,77.7795513
532,20.745319,78.6021946
533,21.1458004,79.0881546
534,21.1750113,79.6558242
535,21.4624491,80.2209773
536,20.184871,79.9947956
537,19.9704597,79.3014845
538,20.3887937,78.1204073
539,19.1382514,77.3209555
540,19.7173703,77.1493722
541,19.2609958,76.776665
542,19.8296893,75.8800305
543,19.8761653,75.3433139
544,19.9974533,73.7898023
545,19.2183307,72.9780897
546,19.1538231,72.8751786
547,19.1765111,72.8695098
548,18.5157519,73.1821623
549,18.5204303,73.8567437
550,19.0952075,74.7495916
551,18.9890893,75.7600785
552,18.4087934,76.5603828
553,18.2069636,76.1783739
554,17.6599188,75.9063906
555,17.6804639,74.018261
556,16.990215,73.3120233
557,16.3492193,73.5594128
558,16.7049873,74.2432527
559,16.8523973,74.5814773
560,19.6935581,72.7655184
561,18.2969747,83.8967813
562,18.1066576,83.3955506
563,17.6868159,83.2184815
564,17.32125,82.0407137
565,16.9174181,81.3399414
566,16.6099914,80.7214417
567,16.3066525,80.4365402
568,15.348463,79.560344
569,14.4425987,79.986456
570,14.4673541,78.8241339
571,15.8281257,78.0372792
572,14.6818877,77.6005911
573,13.2218054,79.1010442
574,15.8496953,74.4976741
575,16.1725355,75.6557206
576,16.8301708,75.710031
577,17.329731,76.8342957
578,17.9148799,77.5046101
579,16.2120031,77.3439283
580,15.6218951,76.1783739
581,15.4324651,75.6380337
582,15.4589236,75.007808
583,14.7937065,74.6868815
584,14.7959027,75.3971254
585,15.1393932,76.9214428
586,14.2305594,76.3984537
587,14.4663438,75.9238397
588,13.9299299,75.568101
589,13.3408807,74.7421427
590,13.315258,75.7754018
591,13.3391677,77.1139984
592,13.1357446,78.1325611
593,12.9715987,77.5945627
594,13.2846993,77.6077865
595,12.5643952,76.7336521
596,13.0068142,76.0995519
597,12.8437814,75.2479061
598,12.3374942,75.8069082
599,12.2958104,76.6393805
600,11.9261471,76.9437312
601,12.9715987,77.5945627
602,13.432366,77.7280396
603,16.4291905,74.5878546
604,13.6643166,77.2088987
605,12.7094487,77.2807423
606,16.7601963,77.142764
607,14.6170943,74.8448648
608,15.5163112,73.9830029
609,15.11766,74.123996
610,8.2954136,73.0489822
611,12.4386702,75.201229
612,11.8744775,75.3703662
613,11.6853575,76.1319953
614,11.2587531,75.78041
615,11.0731819,76.0739999
616,10.7867303,76.6547932
617,10.5276416,76.2144349
618,9.9816358,76.2998842
619,9.9188973,77.1024902
620,9.5915668,76.5221531
621,9.4980667,76.3388484
622,9.2647582,76.7870414
623,8.8932118,76.6141396
624,8.5241391,76.9366376
625,13.2544335,80.0087746
626,13.0826802,80.2707184
627,12.8341735,79.7036402
628,12.9165167,79.1324986
629,12.1065271,78.1361409
630,12.2252841,79.0746957
631,11.9575509,79.2902133
632,11.664325,78.1460142
633,11.2194391,78.1677236
634,11.3410364,77.7171642
635,11.4916043,76.7336521
636,11.0168445,76.9558321
637,10.3673123,77.9802906
638,10.9600778,78.0766036
639,10.7904833,78.7046725
640,11.2409839,78.8665733
641,11.744699,79.7680243
642,10.7656082,79.8423888
643,10.7713187,79.6369974
644,10.7869994,79.1378274
645,10.379663,78.8208454
646,9.972577,78.5660852
647,9.9252007,78.1197754
648,9.9329832,77.4701972
649,9.5680116,77.9624435
650,9.4071343,78.7022678
651,8.7641661,78.1348361
652,8.7139126,77.7566523
653,8.0883064,77.5384507
654,12.5186113,78.2137365
655,16.7271912,82.2175775
656,11.9138598,79.8144722
657,11.7027158,75.5364042
658,10.9254398,79.8380056
659,12.5,92.75
660,8.0,93.5
661,13.2038726,92.8976254
